,Month,Total_CO2_Emissions
0,2007-01-01,143666416.6
1,2007-02-01,144120826.6
2,2007-03-01,146940841.6
3,2007-04-01,146158543.6
4,2007-05-01,147495043.6
5,2007-06-01,148533058.6
6,2007-07-01,148533058.6
7,2007-08-01,148586518.6
8,2007-09-01,149032018.6
9,2007-10-01,149486428.6
10,2008-01-01,155638783.6
11,2008-02-01,157010700.8
12,2008-03-01,157456200.8
13,2008-04-01,157456200.8
14,2008-05-01,157536123.5
15,2008-06-01,159136755.5
16,2008-07-01,159136755.5
17,2008-08-01,158746497.5
18,2008-10-01,158746497.5
19,2008-11-01,159624132.5
20,2008-12-01,159624132.5
21,2009-01-01,159517212.5
22,2009-02-01,159707931.1
23,2009-03-01,160153297.4
24,2009-04-01,160687897.4
25,2009-05-01,162193464.7
26,2009-06-01,163613495.9
27,2009-07-01,164949995.9
28,2009-08-01,166865645.9
29,2009-09-01,167149750.2
30,2009-10-01,169360321.2
31,2009-11-01,169805821.2
32,2009-12-01,170117225.7
33,2010-01-01,170990405.7
34,2010-02-01,171431450.7
35,2010-03-01,174737060.7
36,2010-04-01,175182560.7
37,2010-05-01,176510150.7
38,2010-06-01,178174093.2
39,2010-07-01,180294227.7
40,2010-08-01,181685524.2
41,2010-09-01,181836994.2
42,2010-10-01,185441089.2
43,2010-11-01,185120329.2
44,2010-12-01,189849088.9
45,2011-01-01,190312408.9
46,2011-02-01,190254493.9
47,2011-03-01,192927493.9
48,2011-04-01,194237263.9
49,2011-05-01,194771863.9
50,2011-06-01,197961643.9
51,2011-07-01,200919763.9
52,2011-08-01,202879963.9
53,2011-09-01,203374246.2
54,2011-10-01,203989036.2
55,2011-11-01,208916266.2
56,2011-12-01,189849088.9
57,2012-01-01,212396512.2
58,2012-02-01,213972245.7
59,2012-03-01,226090558.5
60,2012-04-01,229226878.5
61,2012-05-01,231372406.5
62,2012-06-01,234470413.5
63,2012-07-01,236163313.5
64,2012-08-01,237143413.5
65,2012-10-01,241188553.5
66,2012-11-01,242560693.5
67,2012-12-01,242560693.5
68,2013-01-01,243874918.5
69,2013-02-01,248587150.2
70,2013-03-01,260830844.5
71,2013-04-01,261098144.5
72,2013-05-01,263673134.5
73,2013-06-01,264849254.5
74,2013-07-01,264849254.5
75,2013-08-01,266481121.0
76,2013-09-01,268619521.0
77,2013-10-01,269510521.0
78,2013-11-01,272290441.0
79,2013-12-01,272290441.0
80,2014-01-01,276665251.0
81,2014-02-01,281246327.5
82,2014-03-01,289889027.5
83,2014-04-01,290129597.5
84,2014-05-01,295082800.2
85,2014-06-01,296704420.2
86,2014-07-01,297951820.2
87,2014-08-01,303533935.2
88,2014-09-01,304710055.2
89,2014-10-01,305779255.2
90,2014-11-01,306264805.6
91,2014-12-01,307334005.6
92,2015-01-01,310933645.6
93,2015-02-01,315041155.6
94,2015-03-01,326104105.6
95,2015-04-01,327173305.6
96,2015-05-01,326885857.2
97,2015-06-01,330360757.2
98,2015-07-01,331118107.2
99,2015-08-01,332504948.7
100,2015-09-01,335135626.2
101,2015-10-01,337467658.3
102,2015-11-01,337467658.3
103,2015-12-01,342599818.3
104,2016-01-01,346603437.7
105,2016-02-01,347708277.7
106,2016-03-01,364307607.7
107,2016-04-01,365650617.9
108,2016-05-01,366096117.9
109,2016-06-01,366042657.9
110,2016-07-01,366365645.4
111,2016-08-01,367452888.2
112,2016-09-01,368629008.2
113,2016-10-01,367274688.2
114,2016-11-01,369909820.7
115,2016-12-01,371985850.7
116,2017-02-01,372062844.5
117,2017-03-01,377613765.5
118,2017-05-01,383551389.5
119,2017-06-01,381680289.5
120,2017-07-01,381466449.5
121,2017-08-01,379744369.3
122,2017-09-01,379673089.3
123,2017-10-01,379626311.8
124,2017-11-01,378815501.8
125,2017-12-01,378815501.8
126,2018-01-01,380330201.8
127,2018-02-01,379992174.2
128,2018-03-01,385961874.2
129,2018-04-01,385580526.2
130,2018-05-01,385580526.2
131,2018-06-01,386496540.5
132,2018-07-01,385540431.2
133,2018-08-01,384007911.2
134,2018-09-01,384007911.2
135,2018-10-01,383914026.5
136,2018-11-01,379423386.5
137,2018-12-01,380532186.5
138,2019-02-01,387260226.5
139,2019-03-01,393233490.5
140,2019-04-01,393233490.5
141,2019-05-01,393233490.5
142,2019-07-01,395665920.5
143,2019-08-01,396283015.3
144,2019-09-01,397396765.3
145,2019-10-01,398822365.3
146,2019-11-01,398822365.3
147,2019-12-01,401237965.3
148,2022-01-01,410542084.8
149,2022-02-01,410542084.8
150,2022-03-01,410862844.8
151,2022-04-01,410862844.8
152,2022-05-01,410835713.8
153,2022-06-01,410804974.3
154,2022-07-01,410804974.3
155,2022-08-01,410804974.3
156,2022-09-01,410845601.9
157,2022-10-01,410678093.9
158,2022-11-01,410720592.6
159,2022-12-01,410346390.5
160,2023-01-01,411522510.5
161,2023-02-01,411522510.5
162,2023-03-01,412948110.5
163,2023-04-01,412948110.5
164,2023-05-01,412948110.5
165,2023-06-01,411522510.5
166,2023-07-01,412948110.5
167,2023-08-01,414944841.5
168,2023-09-01,416459541.5
169,2023-10-01,416067501.5
170,2023-11-01,416067519.3
171,2023-12-01,417760419.3
172,2024-01-01,418498087.1
173,2024-02-01,423452047.1
174,2024-03-01,423452038.2
175,2024-04-01,423158008.2
176,2024-05-01,423158079.5
